"","city","state","postal_code","latitude","longitude","stars","review_count","categories","OpenSundays","Open7days","checkedin100","BusinessAcceptsCreditCards","RestaurantsTakeOut","RestaurantsPriceRange2","RestaurantsReservations","RestaurantsDelivery","GoodForKids","OutdoorSeating","RestaurantsAttire","garage","street","validated","lot","valet","WiFi","NoiseLevel","Caters","dessert","latenight","lunch","dinner","brunch","breakfast"
"34","Charlotte","NC",28209,35.1703927,-80.8464974,4,59,"Southern, Breakfast & Brunch","no","no","yes","True","True","1","False","True","True","True","casual","False","True","False","True","False","free","average","True","False","False","True","False","False","False"
"35","Charlotte","NC",28203,35.2078667,-80.8598976,4,148,"Fast Food, American (Traditional)","no","no","yes","True","True","1","False","False","True","True","casual","False","False","False","True","False","no","average","False","False","False","True","False","False","False"
"36","Charlotte","NC",28205,35.217977394,-80.7939415053,5,98,"Fast Food, American (Traditional)","yes","no","no","True","True","2","True","True","True","False","casual","False","False","False","True","False","free","quiet","True","False","False","True","True","False","False"
"37","Champaign","IL",61820,40.1101671,-88.2329249,4.5,386,"Fast Food, American (Traditional)","yes","yes","yes","True","True","2","False","False","True","False","casual","False","True","False","False","False","no","average","True","False","False","True","True","False","False"
"38","Matthews","NC",28105,35.1177336,-80.7200124,3.5,93,"Nightlife, Bars","yes","yes","yes","True","True","2","False","False","True","True","casual","False","False","False","True","False","free","average","True","False","False","False","True","False","False"
"39","Charlotte","NC",28216,35.3225328,-80.9450291,3,64,"Fast Food, American (Traditional)","yes","yes","no","True","True","2","False","False","True","True","casual","False","False","False","True","False","no","quiet","False","False","False","True","True","False","False"
"40","Matthews","NC",28104,35.0687554401,-80.701162219,3.5,101,"Fast Food, American (Traditional)","yes","yes","yes","True","True","2","False","True","True","True","casual","False","False","False","False","False","free","average","True","False","False","True","True","False","False"
"41","Charlotte","NC",28211,35.1527248376,-80.827953314,4,1572,"Fast Food, American (Traditional)","yes","yes","yes","True","True","2","False","False","True","True","casual","True","True","False","False","False","free","average","True","False","False","True","True","False","False"
"42","Charlotte","NC",28208,35.2085506,-80.9134552,4,110,"Fast Food, American (Traditional)","no","no","yes","True","True","2","True","True","True","True","casual","False","False","False","True","False","paid","average","True","False","False","True","False","False","False"
"43","Madison","WI",53703,43.07243,-89.38434,4,490,"Nightlife, Bars","yes","yes","yes","True","False","3","True","False","False","True","casual","False","True","False","False","False","no","average","False","False","False","False","True","False","False"
"44","Charlotte","NC",28203,35.2034162,-80.8385574,2.5,13,"Sandwiches, Fast Food","yes","yes","no","True","True","1","False","False","True","False","casual","False","False","False","False","False","free","average","True","False","False","False","False","False","False"
"45","Madison","WI",53703,43.0749204,-89.3883945,3.5,45,"Sandwiches, Fast Food","yes","yes","yes","True","True","1","False","False","True","True","casual","False","False","False","False","False","free","average","False","False","False","True","False","False","False"
"46","Sun Prairie","WI",53590,43.1879461637,-89.2299473367,1.5,13,"Fast Food, American (Traditional)","yes","yes","no","True","True","1","False","False","True","False","casual","False","False","False","True","False","free","average","True","False","False","False","False","False","False"
"47","Concord","NC",28025,35.4107500063,-80.5818166507,4.5,11,"Fast Food, American (Traditional)","yes","no","no","True","True","2","True","False","True","True","casual","False","False","False","False","False","no","average","True","False","False","False","False","False","False"
"48","Middleton","WI",53562,43.0935719,-89.4923464,2.5,34,"Fast Food, American (Traditional)","yes","yes","no","True","True","1","False","False","True","True","casual","False","False","False","True","False","no","average","False","False","False","False","False","False","False"
"49","Charlotte","NC",28213,35.2581442255,-80.7790575432,4,43,"Fast Food, American (Traditional)","yes","yes","yes","True","True","2","False","False","True","False","casual","False","False","False","True","False","no","average","True","False","False","True","True","False","False"
"50","Charlotte","NC",28211,35.171265,-80.807472,3.5,62,"Sandwiches, Fast Food","yes","yes","yes","True","True","1","False","False","True","True","casual","False","False","False","True","False","free","average","True","False","True","True","False","True","True"
"51","Madison","WI",53703,43.0751466,-89.3965677,4,41,"Fast Food, American (Traditional)","yes","yes","yes","True","True","1","False","False","True","False","casual","False","False","False","False","False","no","average","True","False","False","True","True","False","False"
"52","Urbana","IL",61801,40.1161711,-88.2202894,4,8,"Fast Food, American (Traditional)","yes","yes","no","True","True","1","False","False","True","True","casual","False","False","False","False","False","no","quiet","False","False","False","True","False","False","False"
